model,method,mean,ci_lo,ci_hi,n_pairs,n_tasks,control_mean,cohens_d
gemma-2-9b-it,fv,0.006944444444444444,0.0,0.019230769230769232,12,5,0.006944444444444444,0.0
gemma-2-9b-it,tv,0.83040417936585,0.6147721231453289,1.0536335403726709,12,5,0.38909325493135566,1.4377209100429789
gpt-j-6b,fv,0.4956182706182706,0.32621148082686546,0.652272099593528,27,14,-0.014384586606808834,2.4330277855743048
gpt-j-6b,tv,0.5628858795525463,0.4100120739303431,0.7068760571439142,27,14,0.28087858643414204,0.7770687548656903
llama-3.1-70b,tv,0.7987160931566302,0.6766334325300718,0.8960103588433891,48,16,0.4780419576427408,1.0267845249317897
llama-3.1-8b,fv,0.42225391633799564,0.18680084408345277,0.6583631313938619,24,8,-0.0012971230158730165,2.0295083544706833
llama-3.1-8b,tv,0.8298973854195788,0.7470609479818081,0.9097965346917752,24,8,0.41668515883000506,1.6792855318390247
