model,method,n_all,n_gap_ge_0p2,all_mean,all_lo,all_hi,gap_mean,gap_lo,gap_hi
gpt-j-6b,fv,27,27,0.4956182706182706,0.32621148082686546,0.652272099593528,0.4956182706182706,0.32621148082686546,0.652272099593528
gpt-j-6b,tv,27,27,0.5628858795525463,0.4100120739303431,0.7068760571439142,0.5628858795525463,0.4100120739303431,0.7068760571439142
llama-3.1-8b,fv,24,24,0.42225391633799564,0.18680084408345277,0.6583631313938619,0.42225391633799564,0.18680084408345277,0.6583631313938619
llama-3.1-8b,tv,24,24,0.8298973854195788,0.7470609479818081,0.9097965346917752,0.8298973854195788,0.7470609479818081,0.9097965346917752
gemma-2-9b-it,fv,12,12,0.006944444444444444,0.0,0.019230769230769232,0.006944444444444444,0.0,0.019230769230769232
gemma-2-9b-it,tv,12,12,0.83040417936585,0.6147721231453289,1.0536335403726709,0.83040417936585,0.6147721231453289,1.0536335403726709
llama-3.1-70b,tv,48,48,0.7987160931566302,0.6766334325300718,0.8960103588433891,0.7987160931566302,0.6766334325300718,0.8960103588433891
